"No.","Time","Source","Destination","Protocol","Length","Info","src_port","dst_port"
"268","19.684227462","127.0.0.1","127.0.0.1","TCP","74","59310  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=515145271 TSecr=0 WS=128","59310","8080"
"269","19.684255539","127.0.0.1","127.0.0.1","TCP","74","8080  >  59310 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=515145271 TSecr=515145271 WS=128","8080","59310"
"270","19.684279494","127.0.0.1","127.0.0.1","TCP","66","59310  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=515145271 TSecr=515145271","59310","8080"
"271","19.687975076","127.0.0.1","127.0.0.1","TCP","415","59310  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=515145275 TSecr=515145271","59310","8080"
"272","19.688010346","127.0.0.1","127.0.0.1","TCP","66","8080  >  59310 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=515145275 TSecr=515145275","8080","59310"
"273","19.690123324","127.0.0.1","127.0.0.1","TCP","1411","8080  >  59310 [PSH, ACK] Seq=1 Ack=350 Win=65536 Len=1345 TSval=515145277 TSecr=515145275","8080","59310"
"274","19.690224314","127.0.0.1","127.0.0.1","TCP","66","59310  >  8080 [ACK] Seq=350 Ack=1346 Win=73088 Len=0 TSval=515145277 TSecr=515145277","59310","8080"
"275","19.697196220","127.0.0.1","127.0.0.1","TCP","361","59310  >  8080 [PSH, ACK] Seq=350 Ack=1346 Win=73088 Len=295 TSval=515145284 TSecr=515145277","59310","8080"
"276","19.699097369","127.0.0.1","127.0.0.1","TCP","831","8080  >  59310 [PSH, ACK] Seq=1346 Ack=645 Win=65536 Len=765 TSval=515145286 TSecr=515145284","8080","59310"
"277","19.701095738","127.0.0.1","127.0.0.1","TCP","119","59310  >  8080 [PSH, ACK] Seq=645 Ack=2111 Win=74368 Len=53 TSval=515145288 TSecr=515145286","59310","8080"
"278","19.704360608","127.0.0.1","127.0.0.1","TCP","74","59318  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=515145291 TSecr=0 WS=128","59318","8080"
"279","19.704389103","127.0.0.1","127.0.0.1","TCP","74","8080  >  59318 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=515145291 TSecr=515145291 WS=128","8080","59318"
"280","19.704417459","127.0.0.1","127.0.0.1","TCP","66","59318  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=515145291 TSecr=515145291","59318","8080"
"281","19.706083872","127.0.0.1","127.0.0.1","TCP","415","59318  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=515145293 TSecr=515145291","59318","8080"
"282","19.706134995","127.0.0.1","127.0.0.1","TCP","66","8080  >  59318 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=515145293 TSecr=515145293","8080","59318"
"283","19.708086850","127.0.0.1","127.0.0.1","TCP","74","59334  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=515145295 TSecr=0 WS=128","59334","8080"
