"No.","Time","Source","Destination","Protocol","Length","Info","src_port","dst_port"
"16209","210.098308741","127.0.0.1","127.0.0.1","TCP","66","36612  >  8080 [ACK] Seq=47132 Ack=49182 Win=77696 Len=0 TSval=95922367 TSecr=95922324","36612","8080"
"16210","211.048805102","127.0.0.1","127.0.0.1","TCP","263","36786  >  8080 [PSH, ACK] Seq=48833 Ack=55139 Win=77696 Len=197 TSval=95923317 TSecr=95922321","36786","8080"
"16211","211.048805102","127.0.0.1","127.0.0.1","TCP","278","36644  >  8080 [PSH, ACK] Seq=49960 Ack=52417 Win=77696 Len=212 TSval=95923317 TSecr=95922323","36644","8080"
"16212","211.049012390","127.0.0.1","127.0.0.1","TCP","295","36678  >  8080 [PSH, ACK] Seq=47309 Ack=49925 Win=77696 Len=229 TSval=95923317 TSecr=95922314","36678","8080"
"16213","211.049040047","127.0.0.1","127.0.0.1","TCP","66","8080  >  36678 [ACK] Seq=49925 Ack=47538 Win=59648 Len=0 TSval=95923317 TSecr=95923317","8080","36678"
"16214","211.049486121","127.0.0.1","127.0.0.1","TCP","285","8080  >  36716 [PSH, ACK] Seq=51137 Ack=48911 Win=59904 Len=219 TSval=95923318 TSecr=95922324","8080","36716"
"16215","211.049511892","127.0.0.1","127.0.0.1","TCP","66","36716  >  8080 [ACK] Seq=48911 Ack=51356 Win=77696 Len=0 TSval=95923318 TSecr=95923318","36716","8080"
"16216","211.049792932","127.0.0.1","127.0.0.1","TCP","270","8080  >  36756 [PSH, ACK] Seq=44081 Ack=49076 Win=59904 Len=204 TSval=95923318 TSecr=95922321","8080","36756"
"16217","211.050124607","127.0.0.1","127.0.0.1","TCP","303","8080  >  36602 [PSH, ACK] Seq=51357 Ack=47320 Win=59904 Len=237 TSval=95923318 TSecr=95922319","8080","36602"
"16218","211.050161832","127.0.0.1","127.0.0.1","TCP","66","36602  >  8080 [ACK] Seq=47320 Ack=51594 Win=77696 Len=0 TSval=95923318 TSecr=95923318","36602","8080"
"16219","211.051022481","127.0.0.1","127.0.0.1","TCP","295","36656  >  8080 [PSH, ACK] Seq=49948 Ack=40339 Win=77696 Len=229 TSval=95923319 TSecr=95922359","36656","8080"
"16220","211.051058519","127.0.0.1","127.0.0.1","TCP","66","8080  >  36656 [ACK] Seq=40339 Ack=50177 Win=59776 Len=0 TSval=95923319 TSecr=95923319","8080","36656"
"16221","211.051264131","127.0.0.1","127.0.0.1","TCP","263","36628  >  8080 [PSH, ACK] Seq=48041 Ack=49080 Win=77696 Len=197 TSval=95923320 TSecr=95922322","36628","8080"
"16222","211.051518003","127.0.0.1","127.0.0.1","TCP","303","8080  >  36666 [PSH, ACK] Seq=50767 Ack=49357 Win=59904 Len=237 TSval=95923320 TSecr=95922324","8080","36666"
"16223","211.051959328","127.0.0.1","127.0.0.1","TCP","311","36730  >  8080 [PSH, ACK] Seq=55816 Ack=98475 Win=1236096 Len=245 TSval=95923320 TSecr=95922321","36730","8080"
"16224","211.051959328","127.0.0.1","127.0.0.1","TCP","278","36712  >  8080 [PSH, ACK] Seq=48222 Ack=48208 Win=77696 Len=212 TSval=95923320 TSecr=95922323","36712","8080"
"16225","211.051960794","127.0.0.1","127.0.0.1","TCP","269","8080  >  36678 [PSH, ACK] Seq=49925 Ack=47538 Win=59904 Len=203 TSval=95923320 TSecr=95923317","8080","36678"
"16226","211.052018413","127.0.0.1","127.0.0.1","TCP","66","36678  >  8080 [ACK] Seq=47538 Ack=50128 Win=77696 Len=0 TSval=95923320 TSecr=95923320","36678","8080"
"16227","211.052498080","127.0.0.1","127.0.0.1","TCP","318","8080  >  36612 [PSH, ACK] Seq=49182 Ack=47132 Win=59904 Len=252 TSval=95923321 TSecr=95922367","8080","36612"
"16228","211.052530557","127.0.0.1","127.0.0.1","TCP","66","36612  >  8080 [ACK] Seq=47132 Ack=49434 Win=77696 Len=0 TSval=95923321 TSecr=95923321","36612","8080"
"16229","211.052992834","127.0.0.1","127.0.0.1","TCP","286","8080  >  36730 [PSH, ACK] Seq=98475 Ack=56061 Win=59904 Len=220 TSval=95923321 TSecr=95923320","8080","36730"
