"No.","Time","Source","Destination","Protocol","Length","Info","src_port","dst_port"
"1305","40.599961304","127.0.0.1","127.0.0.1","TCP","66","47796  >  8080 [ACK] Seq=6619 Ack=7055 Win=75520 Len=0 TSval=514794957 TSecr=514794957","47796","8080"
"1306","40.601332148","127.0.0.1","127.0.0.1","TCP","624","8080  >  47898 [PSH, ACK] Seq=5421 Ack=6143 Win=84608 Len=558 TSval=514794958 TSecr=514794952","8080","47898"
"1307","40.601383621","127.0.0.1","127.0.0.1","TCP","66","47898  >  8080 [ACK] Seq=6143 Ack=5979 Win=75520 Len=0 TSval=514794958 TSecr=514794958","47898","8080"
"1308","40.602735888","127.0.0.1","127.0.0.1","TCP","560","8080  >  47796 [PSH, ACK] Seq=7055 Ack=6619 Win=85120 Len=494 TSval=514794960 TSecr=514794957","8080","47796"
"1309","40.602782193","127.0.0.1","127.0.0.1","TCP","66","47796  >  8080 [ACK] Seq=6619 Ack=7549 Win=75520 Len=0 TSval=514794960 TSecr=514794960","47796","8080"
"1310","40.604499171","127.0.0.1","127.0.0.1","TCP","651","47898  >  8080 [PSH, ACK] Seq=6143 Ack=5979 Win=75520 Len=585 TSval=514794961 TSecr=514794958","47898","8080"
"1311","40.604698637","127.0.0.1","127.0.0.1","TCP","590","8080  >  47832 [PSH, ACK] Seq=8233 Ack=6632 Win=85248 Len=524 TSval=514794962 TSecr=514794946","8080","47832"
"1312","40.604737888","127.0.0.1","127.0.0.1","TCP","66","47832  >  8080 [ACK] Seq=6632 Ack=8757 Win=75520 Len=0 TSval=514794962 TSecr=514794962","47832","8080"
"1313","40.606284314","127.0.0.1","127.0.0.1","TCP","560","8080  >  47926 [PSH, ACK] Seq=6193 Ack=6743 Win=83584 Len=494 TSval=514794963 TSecr=514794949","8080","47926"
"1314","40.607143850","127.0.0.1","127.0.0.1","TCP","551","47864  >  8080 [PSH, ACK] Seq=6212 Ack=9641 Win=75520 Len=485 TSval=514794964 TSecr=514794939","47864","8080"
"1315","40.607311679","127.0.0.1","127.0.0.1","TCP","504","8080  >  47870 [PSH, ACK] Seq=7251 Ack=6184 Win=85120 Len=438 TSval=514794964 TSecr=514794950","8080","47870"
"1316","40.608562886","127.0.0.1","127.0.0.1","TCP","651","47848  >  8080 [PSH, ACK] Seq=6066 Ack=8529 Win=75520 Len=585 TSval=514794965 TSecr=514794953","47848","8080"
"1317","40.608801882","127.0.0.1","127.0.0.1","TCP","504","8080  >  47810 [PSH, ACK] Seq=7967 Ack=6347 Win=85120 Len=438 TSval=514794966 TSecr=514794956","8080","47810"
"1318","40.608835267","127.0.0.1","127.0.0.1","TCP","66","47810  >  8080 [ACK] Seq=6347 Ack=8405 Win=73344 Len=0 TSval=514794966 TSecr=514794966","47810","8080"
