"No.","Time","Source","Destination","Protocol","Length","Info","src_port","dst_port"
"8023","7.278509152","127.0.0.1","127.0.0.1","TCP","66","60310  >  4444 [ACK] Seq=821 Ack=301 Win=630 Len=0 TSval=449047588 TSecr=449047588","60310","4444"
"8026","7.279203159","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60046","4444"
"8027","7.279333761","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60438","4444"
"8028","7.279452700","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60098","4444"
"8080","7.283010036","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60098"
"8081","7.283021001","127.0.0.1","127.0.0.1","TCP","66","60098  >  4444 [ACK] Seq=616 Ack=226 Win=630 Len=0 TSval=449047593 TSecr=449047593","60098","4444"
"8093","7.283565340","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60046"
"8094","7.283581613","127.0.0.1","127.0.0.1","TCP","66","60046  >  4444 [ACK] Seq=1026 Ack=376 Win=630 Len=0 TSval=449047593 TSecr=449047593","60046","4444"
"8101","7.284437092","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60438"
"8102","7.284451130","127.0.0.1","127.0.0.1","TCP","66","60438  >  4444 [ACK] Seq=616 Ack=226 Win=630 Len=0 TSval=449047594 TSecr=449047594","60438","4444"
"8105","7.285101486","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","59928","4444"
"8120","7.287354059","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60354","4444"
"8131","7.288437498","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","59928"
"8132","7.288457961","127.0.0.1","127.0.0.1","TCP","66","59928  >  4444 [ACK] Seq=616 Ack=226 Win=630 Len=0 TSval=449047598 TSecr=449047598","59928","4444"
"8148","7.290124570","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60420","4444"
"8151","7.290536561","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60354"
"8152","7.290547595","127.0.0.1","127.0.0.1","TCP","66","60354  >  4444 [ACK] Seq=1026 Ack=376 Win=630 Len=0 TSval=449047600 TSecr=449047600","60354","4444"
"8173","7.293153841","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60420"
"8174","7.293171441","127.0.0.1","127.0.0.1","TCP","66","60420  >  4444 [ACK] Seq=821 Ack=301 Win=630 Len=0 TSval=449047603 TSecr=449047603","60420","4444"
"8202","7.373544064","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60042","4444"
"8204","7.374451575","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60172","4444"
"8242","7.378026371","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60172"
"8243","7.378050676","127.0.0.1","127.0.0.1","TCP","66","60172  >  4444 [ACK] Seq=1436 Ack=526 Win=630 Len=0 TSval=449047688 TSecr=449047688","60172","4444"
"8244","7.378061222","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60106","4444"
"8248","7.378570710","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60042"
"8250","7.378589846","127.0.0.1","127.0.0.1","TCP","66","60042  >  4444 [ACK] Seq=411 Ack=151 Win=630 Len=0 TSval=449047688 TSecr=449047688","60042","4444"
"8269","7.380623608","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60150","4444"
"8274","7.381336612","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60106"
"8275","7.381353024","127.0.0.1","127.0.0.1","TCP","66","60106  >  4444 [ACK] Seq=1231 Ack=451 Win=630 Len=0 TSval=449047691 TSecr=449047691","60106","4444"
"8280","7.382111704","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42950","4444"
"8307","7.384806089","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60150"
"8308","7.384819009","127.0.0.1","127.0.0.1","TCP","66","60150  >  4444 [ACK] Seq=1026 Ack=376 Win=630 Len=0 TSval=449047694 TSecr=449047694","60150","4444"
"8323","7.386572081","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42950"
"8324","7.386589751","127.0.0.1","127.0.0.1","TCP","66","42950  >  4444 [ACK] Seq=821 Ack=301 Win=630 Len=0 TSval=449047696 TSecr=449047696","42950","4444"
"8327","7.389529905","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42986","4444"
"8347","7.393413677","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42986"
"8348","7.393431068","127.0.0.1","127.0.0.1","TCP","66","42986  >  4444 [ACK] Seq=821 Ack=301 Win=630 Len=0 TSval=449047703 TSecr=449047703","42986","4444"
"8370","7.475546915","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42872","4444"
"8390","7.479975934","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42872"
"8391","7.479987038","127.0.0.1","127.0.0.1","TCP","66","42872  >  4444 [ACK] Seq=1026 Ack=376 Win=630 Len=0 TSval=449047790 TSecr=449047790","42872","4444"
"8394","7.481839424","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60018","4444"
"8400","7.484051209","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60088","4444"
"8413","7.486375229","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","59986","4444"
"8445","7.488679134","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60018"
"8446","7.488695477","127.0.0.1","127.0.0.1","TCP","66","60018  >  4444 [ACK] Seq=411 Ack=151 Win=630 Len=0 TSval=449047798 TSecr=449047798","60018","4444"
"8464","7.489707958","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60088"
"8465","7.489727024","127.0.0.1","127.0.0.1","TCP","66","60088  >  4444 [ACK] Seq=821 Ack=301 Win=630 Len=0 TSval=449047799 TSecr=449047799","60088","4444"
"8469","7.490150957","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","59986"
"8470","7.490168208","127.0.0.1","127.0.0.1","TCP","66","59986  >  4444 [ACK] Seq=1026 Ack=376 Win=630 Len=0 TSval=449047800 TSecr=449047800","59986","4444"
"8486","7.576628287","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60172","4444"
"8506","7.580029879","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60172"
"8507","7.580047619","127.0.0.1","127.0.0.1","TCP","66","60172  >  4444 [ACK] Seq=1641 Ack=601 Win=630 Len=0 TSval=449047890 TSecr=449047890","60172","4444"
"8510","7.582836428","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60398","4444"
"8530","7.587134705","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60372","4444"
"8531","7.587329351","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60398"
"8532","7.587357008","127.0.0.1","127.0.0.1","TCP","66","60398  >  4444 [ACK] Seq=411 Ack=151 Win=630 Len=0 TSval=449047897 TSecr=449047897","60398","4444"
"8543","7.589332662","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","59948","4444"
"8570","7.591855798","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60148","4444"
"8576","7.592512789","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60372"
"8577","7.592530878","127.0.0.1","127.0.0.1","TCP","66","60372  >  4444 [ACK] Seq=821 Ack=301 Win=630 Len=0 TSval=449047902 TSecr=449047902","60372","4444"
"8591","7.594067025","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","59948"
"8592","7.594092028","127.0.0.1","127.0.0.1","TCP","66","59948  >  4444 [ACK] Seq=411 Ack=151 Win=630 Len=0 TSval=449047904 TSecr=449047904","59948","4444"
"8607","7.596377914","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60148"
"8608","7.596399425","127.0.0.1","127.0.0.1","TCP","66","60148  >  4444 [ACK] Seq=1026 Ack=376 Win=630 Len=0 TSval=449047906 TSecr=449047906","60148","4444"
"8627","7.674148691","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60018","4444"
"8647","7.679642571","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60018"
